# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 22 22:24:17 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_rah:         RA [hrs]
#
rowid	pl_hostname	pl_letter	pl_discmethod	pl_pnum	ra_str	ra	dec_str	dec	st_rah
56	BD-17 63	b	Radial Velocity	1	00h28m34.31s	7.142942	-16d13m34.8s	-16.226345	0.47619613
57	CFBDSIR J145829+101343	b	Imaging	1	14h58m29.00s	224.620833	+10d13m43.0s	10.228611	14.97472222
58	CHXR 73	b	Imaging	1	11h06m28.77s	166.619893	-77d37m33.2s	-77.625877	11.10799287
59	CT Cha	b	Imaging	1	11h04m09.09s	166.037877	-76d27m19.4s	-76.455383	11.06919180
60	CoRoT-1	b	Transit	1	06h48m19.17s	102.079885	-03d06m07.7s	-3.102147	6.80532567
61	CoRoT-10	b	Transit	1	19h24m15.29s	291.063708	+00d44m46.1s	0.746143	19.40424720
62	CoRoT-11	b	Transit	1	18h42m44.94s	280.687263	+05d56m15.7s	5.937688	18.71248420
63	CoRoT-12	b	Transit	1	06h43m03.76s	100.765677	-01d17m47.2s	-1.296439	6.71771180
64	CoRoT-13	b	Transit	1	06h50m53.07s	102.721137	-05d05m11.2s	-5.086445	6.84807580
65	CoRoT-14	b	Transit	1	06h53m41.81s	103.424211	-05d32m09.7s	-5.536037	6.89494740
66	CoRoT-16	b	Transit	1	18h34m05.93s	278.524691	-06d00m09.3s	-6.002595	18.56831273
67	CoRoT-17	b	Transit	1	18h34m47.82s	278.699254	-06d36m44.0s	-6.612234	18.57995027
68	CoRoT-18	b	Transit	1	06h32m41.38s	98.172410	-00d01m53.7s	-0.031586	6.54482733
69	CoRoT-19	b	Transit	1	06h28m08.06s	97.033582	-00d10m14.5s	-0.170681	6.46890547
70	CoRoT-2	b	Transit	1	19h27m06.49s	291.777056	+01d23m01.4s	1.383714	19.45180373
71	CoRoT-20	b	Transit	1	06h30m52.90s	97.720408	+00d13m36.9s	0.226919	6.51469387
72	CoRoT-22	b	Transit	1	18h42m40.11s	280.667115	+06d13m08.9s	6.219136	18.71114100
73	CoRoT-23	b	Transit	1	18h39m07.83s	279.782615	+04d21m28.1s	4.357806	18.65217433
74	CoRoT-24	b	Transit	2	06h47m41.41s	101.922547	-03d43m09.5s	-3.719301	6.79483647
75	CoRoT-24	c	Transit	2	06h47m41.41s	101.922547	-03d43m09.5s	-3.719301	6.79483647
76	CoRoT-25	b	Transit	1	18h42m31.12s	280.629662	+06d30m49.8s	6.513829	18.70864413
77	CoRoT-26	b	Transit	1	18h39m00.12s	279.750514	+06d58m11.2s	6.969787	18.65003427
78	CoRoT-27	b	Transit	1	18h33m59.00s	278.495813	+05d32m18.5s	5.538462	18.56638753
79	CoRoT-28	b	Transit	1	18h34m45.20s	278.688338	+05d34m25.4s	5.573730	18.57922253
80	CoRoT-29	b	Transit	1	18h35m36.50s	278.902103	+06d28m46.7s	6.479651	18.59347353
81	CoRoT-3	b	Transit	1	19h28m13.26s	292.055263	+00d07m18.6s	0.121820	19.47035087
82	CoRoT-4	b	Transit	1	06h48m46.72s	102.194663	-00d40m22.0s	-0.672774	6.81297753
83	CoRoT-5	b	Transit	1	06h45m06.54s	101.277254	+00d48m54.9s	0.815239	6.75181695
84	CoRoT-6	b	Transit	1	18h44m17.41s	281.072525	+06d39m47.5s	6.663194	18.73816833
85	CoRoT-7	b	Transit	2	06h43m49.47s	100.956125	-01d03m46.9s	-1.063033	6.73040833
86	CoRoT-7	c	Radial Velocity	2	06h43m49.47s	100.956125	-01d03m46.9s	-1.063033	6.73040833
87	CoRoT-8	b	Transit	1	19h26m21.24s	291.588518	+01d25m35.2s	1.426452	19.43923453
88	CoRoT-9	b	Transit	1	18h43m08.81s	280.786712	+06d12m15.0s	6.204172	18.71911413
89	DENIS-P J082303.1-491201	b	Astrometry	1	08h23m03.13s	125.763050	-49d12m01.3s	-49.200359	8.38420333
90	DH Tau	b	Imaging	1	04h29m41.56s	67.423158	+26d32m58.3s	26.549520	4.49487720
91	DP Leo	b	Eclipse Timing Variations	1	11h17m16.00s	169.316667	+17d57m41.1s	17.961417	11.28777778
92	FU Tau	b	Imaging	1	04h23m35.74s	65.898908	+25d02m59.6s	25.049898	4.39326053
93	Fomalhaut	b	Imaging	1	22h57m39.05s	344.412689	-29d37m20.1s	-29.622236	22.96084595
94	GJ 1132	b	Transit	1	10h14m51.78s	153.715737	-47d09m24.2s	-47.156727	10.24771580
95	GJ 1214	b	Transit	1	17h15m18.92s	258.828837	+04d57m50.1s	4.963920	17.25525578
96	GJ 15 A	b	Radial Velocity	1	00h18m22.89s	4.595356	+44d01m22.6s	44.022953	0.30635703
97	GJ 163	b	Radial Velocity	3	04h09m15.67s	62.315273	-53d22m25.3s	-53.373699	4.15435155
98	GJ 163	c	Radial Velocity	3	04h09m15.67s	62.315273	-53d22m25.3s	-53.373699	4.15435155
99	GJ 163	d	Radial Velocity	3	04h09m15.67s	62.315273	-53d22m25.3s	-53.373699	4.15435155
100	GJ 179	b	Radial Velocity	1	04h52m05.73s	73.023865	+06d28m35.5s	6.476539	4.86825765
101	GJ 3021	b	Radial Velocity	1	00h16m12.68s	4.052823	-79d51m04.3s	-79.851181	0.27018820
102	GJ 317	b	Radial Velocity	1	08h40m59.22s	130.246730	-23d27m22.6s	-23.456289	8.68311535
103	GJ 328	b	Radial Velocity	1	08h55m07.62s	133.781754	+01d32m47.4s	1.546508	8.91878357
104	GJ 3293	b	Radial Velocity	2	04h28m35.72s	67.148820	-25d10m09.5s	-25.169301	4.47658798
105	GJ 3293	c	Radial Velocity	2	04h28m35.72s	67.148820	-25d10m09.5s	-25.169301	4.47658798
106	GJ 3341	b	Radial Velocity	1	05h15m46.72s	78.944663	-31d17m45.4s	-31.295951	5.26297752
107	GJ 3470	b	Radial Velocity	1	07h59m05.84s	119.774349	+15d23m29.4s	15.391492	7.98495660
108	GJ 3634	b	Radial Velocity	1	10h58m35.10s	164.646242	-31d08m38.4s	-31.143989	10.97641615
109	GJ 433	b	Radial Velocity	1	11h35m26.95s	173.862289	-32d32m23.9s	-32.539970	11.59081930
110	GJ 436	b	Radial Velocity	1	11h42m11.09s	175.546219	+26d42m23.7s	26.706570	11.70308126
111	GJ 504	b	Imaging	1	13h16m46.52s	199.193817	+09d25m27.0s	9.424156	13.27958781
112	GJ 581	b	Radial Velocity	3	15h19m26.82s	229.861771	-07d43m20.2s	-7.722280	15.32411804
113	GJ 581	c	Radial Velocity	3	15h19m26.82s	229.861771	-07d43m20.2s	-7.722280	15.32411804
114	GJ 581	e	Radial Velocity	3	15h19m26.82s	229.861771	-07d43m20.2s	-7.722280	15.32411804
115	GJ 649	b	Radial Velocity	1	16h58m08.85s	254.536880	+25d44m39.0s	25.744160	16.96912537
116	GJ 667 C	b	Radial Velocity	5	17h18m58.82s	259.745085	-34d59m48.6s	-34.996827	17.31633902
117	GJ 667 C	c	Radial Velocity	5	17h18m58.82s	259.745085	-34d59m48.6s	-34.996827	17.31633902
118	GJ 667 C	e	Radial Velocity	5	17h18m58.82s	259.745085	-34d59m48.6s	-34.996827	17.31633902
119	GJ 667 C	f	Radial Velocity	5	17h18m58.82s	259.745085	-34d59m48.6s	-34.996827	17.31633902
120	GJ 667 C	g	Radial Velocity	5	17h18m58.82s	259.745085	-34d59m48.6s	-34.996827	17.31633902
121	GJ 674	b	Radial Velocity	1	17h28m39.95s	262.166443	-46d53m42.7s	-46.895191	17.47776286
122	GJ 676 A	b	Radial Velocity	3	17h30m11.21s	262.546692	-51d38m13.1s	-51.636978	17.50311279
123	GJ 676 A	d	Radial Velocity	3	17h30m11.21s	262.546692	-51d38m13.1s	-51.636978	17.50311279
124	GJ 676 A	e	Radial Velocity	3	17h30m11.21s	262.546692	-51d38m13.1s	-51.636978	17.50311279
125	GJ 687	b	Radial Velocity	1	17h36m25.90s	264.107910	+68d20m20.9s	68.339142	17.60719401
126	GJ 832	b	Radial Velocity	2	21h33m33.98s	323.391571	-49d00m32.4s	-49.009006	21.55943807
127	GJ 832	c	Radial Velocity	2	21h33m33.98s	323.391571	-49d00m32.4s	-49.009006	21.55943807
128	GJ 849	b	Radial Velocity	1	22h09m40.35s	332.418121	-04d38m26.6s	-4.640729	22.16120809
129	GJ 86	b	Radial Velocity	1	02h10m25.93s	32.608059	-50d49m25.4s	-50.823723	2.17387060
130	GJ 876	b	Radial Velocity	4	22h53m16.74s	343.319733	-14d15m49.3s	-14.263700	22.88798218
131	GJ 876	c	Radial Velocity	4	22h53m16.74s	343.319733	-14d15m49.3s	-14.263700	22.88798218
132	GJ 876	d	Radial Velocity	4	22h53m16.74s	343.319733	-14d15m49.3s	-14.263700	22.88798218
133	GJ 876	e	Radial Velocity	4	22h53m16.74s	343.319733	-14d15m49.3s	-14.263700	22.88798218
134	GQ Lup	b	Imaging	1	15h49m12.10s	237.300427	-35d39m05.1s	-35.651421	15.82002847
135	GSC 06214-00210	b	Imaging	1	16h21m54.67s	245.477780	-20d43m09.1s	-20.719202	16.36518533
136	GU Psc	b	Imaging	1	01h12m35.04s	18.146006	+17d03m55.7s	17.065475	1.20973373
137	HAT-P-1	b	Transit	1	22h57m46.83s	344.445104	+38d40m29.8s	38.674953	22.96300694
138	HAT-P-11	b	Transit	1	19h50m50.24s	297.709351	+48d04m51.1s	48.080856	19.84729004
139	HAT-P-12	b	Transit	1	13h57m33.48s	209.389489	+43d29m36.7s	43.493534	13.95929927
140	HAT-P-13	b	Transit	2	08h39m31.81s	129.882536	+47d21m07.4s	47.352051	8.65883573
141	HAT-P-13	c	Radial Velocity	2	08h39m31.81s	129.882536	+47d21m07.4s	47.352051	8.65883573
142	HAT-P-14	b	Transit	1	17h20m27.88s	260.116169	+38d14m31.8s	38.242165	17.34107793
143	HAT-P-15	b	Transit	1	04h24m59.53s	66.248026	+39d27m38.3s	39.460636	4.41653507
144	HAT-P-16	b	Transit	1	00h38m17.56s	9.573181	+42d27m47.1s	42.463078	0.63821207
145	HAT-P-17	b	Transit	2	21h38m08.74s	324.536396	+30d29m19.4s	30.488716	21.63575973
146	HAT-P-17	c	Radial Velocity	2	21h38m08.74s	324.536396	+30d29m19.4s	30.488716	21.63575973
147	HAT-P-18	b	Transit	1	17h05m23.15s	256.346473	+33d00m45.0s	33.012512	17.08976487
148	HAT-P-19	b	Transit	1	00h38m04.02s	9.516742	+34d42m41.7s	34.711575	0.63444947
149	HAT-P-2	b	Transit	1	16h20m36.36s	245.151489	+41d02m53.1s	41.048084	16.34343262
150	HAT-P-20	b	Transit	1	07h27m39.95s	111.916469	+24d20m11.9s	24.336630	7.46109793
151	HAT-P-21	b	Transit	1	11h25m05.99s	171.274955	+41d01m40.6s	41.027954	11.41833033
152	HAT-P-22	b	Transit	1	10h22m43.61s	155.681719	+50d07m42.0s	50.128345	10.37878127
153	HAT-P-23	b	Transit	1	20h24m29.72s	306.123854	+16d45m43.7s	16.762152	20.40825693
154	HAT-P-24	b	Transit	1	07h15m18.01s	108.825058	+14d15m45.4s	14.262599	7.25500387
155	HAT-P-25	b	Transit	1	03h13m44.50s	48.435419	+25d11m50.7s	25.197405	3.22902793
156	HAT-P-26	b	Transit	1	14h12m37.53s	213.156383	+04d03m36.0s	4.059997	14.21042553
157	HAT-P-27	b	Transit	1	14h51m04.18s	222.767436	+05d56m50.5s	5.947368	14.85116240
158	HAT-P-28	b	Transit	1	00h52m00.18s	13.000766	+34d43m42.3s	34.728413	0.86671773
159	HAT-P-29	b	Transit	1	02h12m31.47s	33.131142	+51d46m43.5s	51.778759	2.20874280
160	HAT-P-3	b	Transit	1	13h44m22.59s	206.094121	+48d01m43.2s	48.028667	13.73960807
161	HAT-P-30	b	Transit	1	08h15m47.97s	123.949894	+05d50m12.2s	5.836719	8.26332627
162	HAT-P-31	b	Transit	1	18h06m09.05s	271.537705	+26d25m36.0s	26.426662	18.10251367
163	HAT-P-32	b	Transit	1	02h04m10.28s	31.042848	+46d41m16.2s	46.687836	2.06952320
164	HAT-P-33	b	Transit	1	07h32m44.21s	113.184212	+33d50m06.2s	33.835052	7.54561413
165	HAT-P-34	b	Transit	1	20h12m46.88s	303.195342	+18d06m17.5s	18.104868	20.21302280
166	HAT-P-35	b	Transit	1	08h13m00.18s	123.250764	+04d47m13.3s	4.787023	8.21671760
167	HAT-P-36	b	Transit	1	12h33m03.90s	188.266255	+44d54m55.3s	44.915352	12.55108367
168	HAT-P-37	b	Transit	1	18h57m11.06s	284.296064	+51d16m08.9s	51.269138	18.95307093
169	HAT-P-38	b	Transit	1	02h21m31.98s	35.383234	+32d14m46.1s	32.246151	2.35888227
170	HAT-P-39	b	Transit	1	07h35m01.98s	113.758247	+17d49m48.3s	17.830082	7.58388313
171	HAT-P-4	b	Transit	1	15h19m57.92s	229.991354	+36d13m46.8s	36.229664	15.33275693
172	HAT-P-40	b	Transit	1	22h22m03.09s	335.512861	+45d27m26.6s	45.457378	22.36752407
173	HAT-P-41	b	Transit	1	19h49m17.44s	297.322651	+04d40m20.7s	4.672421	19.82151007
174	HAT-P-42	b	Transit	1	09h01m22.65s	135.344391	+06d05m50.0s	6.097230	9.02295940
175	HAT-P-43	b	Transit	1	08h35m42.18s	128.925737	+10d12m24.0s	10.206653	8.59504913
176	HAT-P-44	b	Transit	2	14h12m34.58s	213.144074	+47d00m52.9s	47.014687	14.20960493
177	HAT-P-44	c	Radial Velocity	2	14h12m34.58s	213.144074	+47d00m52.9s	47.014687	14.20960493
178	HAT-P-45	b	Transit	1	18h17m29.58s	274.373238	-03d22m51.7s	-3.381036	18.29154920
179	HAT-P-46	b	Transit	1	18h01m46.61s	270.444201	-02d58m15.4s	-2.970947	18.02961340
180	HAT-P-49	b	Transit	1	20h21m45.94s	305.441397	+26d41m33.5s	26.692652	20.36275980
181	HAT-P-5	b	Transit	1	18h17m37.31s	274.405476	+36d37m17.1s	36.621410	18.29369840
182	HAT-P-50	b	Transit	1	07h52m15.22s	118.063411	+12d08m21.9s	12.139410	7.87089407
183	HAT-P-51	b	Transit	1	01h24m15.65s	21.065190	+32d48m38.8s	32.810764	1.40434600
184	HAT-P-52	b	Transit	1	02h50m53.20s	42.721679	+29d01m20.6s	29.022396	2.84811193
185	HAT-P-53	b	Transit	1	01h27m29.07s	21.871105	+38d58m05.3s	38.968147	1.45807367
186	HAT-P-54	b	Transit	1	06h39m35.52s	99.898000	+25d28m57.1s	25.482540	6.65986667
187	HAT-P-55	b	Transit	1	17h37m05.63s	264.273447	+25d43m52.3s	25.731186	17.61822980
188	HAT-P-56	b	Transit	1	06h43m23.53s	100.848038	+27d15m08.3s	27.252293	6.72320251
189	HAT-P-57	b	Transit	1	18h18m58.42s	274.743421	+10d35m50.3s	10.597294	18.31622807
190	HAT-P-6	b	Transit	1	23h39m05.81s	354.774222	+42d27m57.5s	42.465973	23.65161480
191	HAT-P-7	b	Transit	1	19h28m59.35s	292.247310	+47d58m10.2s	47.969513	19.48315400
192	HAT-P-8	b	Transit	1	22h52m09.86s	343.041067	+35d26m49.6s	35.447109	22.86940447
193	HAT-P-9	b	Transit	1	07h20m40.45s	110.168529	+37d08m26.3s	37.140652	7.34456860
194	HATS-1	b	Transit	1	11h42m06.08s	175.525336	-23d21m17.4s	-23.354836	11.70168907
195	HATS-10	b	Transit	1	19h37m13.64s	294.306813	-22d12m16.1s	-22.204477	19.62045420
196	HATS-13	b	Transit	1	21h07m50.75s	316.961465	-26d05m48.0s	-26.096655	21.13076433
197	HATS-14	b	Transit	1	20h52m51.71s	313.215479	-25d41m14.4s	-25.687334	20.88103193
198	HATS-2	b	Transit	1	11h46m57.38s	176.739094	-22d33m46.8s	-22.562992	11.78260627
199	HATS-3	b	Transit	1	20h49m49.79s	312.457440	-24d25m43.7s	-24.428793	20.83049600
200	HATS-4	b	Transit	1	06h16m26.90s	94.112075	-22d32m48.8s	-22.546885	6.27413833
201	HATS-5	b	Transit	1	04h28m53.49s	67.222871	-21d28m54.9s	-21.481916	4.48152473
202	HATS-6	b	Transit	1	05h52m35.23s	88.146797	-19d01m54.0s	-19.031656	5.87645313
203	HATS-8	b	Transit	1	19h39m46.02s	294.941746	-25d44m53.9s	-25.748318	19.66278307
204	HATS-9	b	Transit	1	19h23m14.42s	290.810104	-20d09m58.7s	-20.166317	19.38734027
205	HD 100546	b	Imaging	1	11h33m25.44s	173.356003	-70d11m41.2s	-70.194786	11.55706685
206	HD 100655	b	Radial Velocity	1	11h35m03.75s	173.765640	+20d26m29.6s	20.441545	11.58437602
207	HD 100777	b	Radial Velocity	1	11h35m51.52s	173.964676	-04d45m20.5s	-4.755697	11.59764506
208	HD 10180	c	Radial Velocity	6	01h37m53.58s	24.473234	-60d30m41.5s	-60.511528	1.63154895
209	HD 10180	d	Radial Velocity	6	01h37m53.58s	24.473234	-60d30m41.5s	-60.511528	1.63154895
210	HD 10180	e	Radial Velocity	6	01h37m53.58s	24.473234	-60d30m41.5s	-60.511528	1.63154895
211	HD 10180	f	Radial Velocity	6	01h37m53.58s	24.473234	-60d30m41.5s	-60.511528	1.63154895
212	HD 10180	g	Radial Velocity	6	01h37m53.58s	24.473234	-60d30m41.5s	-60.511528	1.63154895
213	HD 10180	h	Radial Velocity	6	01h37m53.58s	24.473234	-60d30m41.5s	-60.511528	1.63154895
214	HD 101930	b	Radial Velocity	1	11h43m30.11s	175.875458	-58d00m24.8s	-58.006886	11.72503052
215	HD 102117	b	Radial Velocity	1	11h44m50.46s	176.210251	-58d42m13.4s	-58.703709	11.74735006
216	HD 102195	b	Radial Velocity	1	11h45m42.29s	176.426224	+02d49m17.3s	2.821483	11.76174825
217	HD 102272	b	Radial Velocity	1	11h46m23.54s	176.598068	+14d07m26.4s	14.123986	11.77320455
218	HD 102329	b	Radial Velocity	1	11h46m46.64s	176.694351	+03d28m27.5s	3.474293	11.77962341
219	HD 102365	b	Radial Velocity	1	11h46m31.07s	176.629471	-40d30m01.3s	-40.500355	11.77529806
220	HD 102956	b	Radial Velocity	1	11h51m22.51s	177.843796	+57d38m26.6s	57.640736	11.85625305
221	HD 103197	b	Radial Velocity	1	11h52m52.98s	178.220749	-50d17m34.2s	-50.292824	11.88138326
222	HD 103720	b	Radial Velocity	1	11h56m41.18s	179.171600	-02d46m44.2s	-2.778953	11.94477336
223	HD 103774	b	Radial Velocity	1	11h56m55.59s	179.231628	-12d06m28.5s	-12.107909	11.94877523
224	HD 104067	b	Radial Velocity	1	11h59m10.01s	179.791702	-20d21m13.6s	-20.353781	11.98611348
225	HD 10442	b	Radial Velocity	1	01h41m53.15s	25.471457	+02d42m15.8s	2.704376	1.69809713
226	HD 104985	b	Radial Velocity	1	12h05m15.12s	181.312988	+76d54m20.6s	76.905731	12.08753255
227	HD 106252	b	Radial Velocity	1	12h13m29.51s	183.372955	+10d02m29.9s	10.041638	12.22486369
228	HD 106270	b	Radial Velocity	1	12h13m37.28s	183.405350	-09d30m48.2s	-9.513381	12.22702332
229	HD 10647	b	Radial Velocity	1	01h42m29.32s	25.622149	-53d44m27.0s	-53.740833	1.70814323
230	HD 106515 A	b	Radial Velocity	1	12h15m06.57s	183.777359	-07d15m26.4s	-7.257327	12.25182393
231	HD 106906	b	Imaging	1	12h17m53.19s	184.471634	-55d58m31.9s	-55.975525	12.29810893
232	HD 10697	b	Radial Velocity	1	01h44m55.82s	26.232603	+20d04m59.3s	20.083149	1.74884020
233	HD 107148	b	Radial Velocity	1	12h19m13.49s	184.806213	-03d19m11.2s	-3.319789	12.32041423
234	HD 108147	b	Radial Velocity	1	12h25m46.27s	186.442780	-64d01m19.5s	-64.022087	12.42951864
235	HD 108341	b	Radial Velocity	1	12h27m31.39s	186.880798	-71d25m22.7s	-71.422974	12.45871989
236	HD 108863	b	Radial Velocity	1	12h30m19.91s	187.582962	+21d56m53.7s	21.948244	12.50553080
237	HD 108874	b	Radial Velocity	2	12h30m26.88s	187.612015	+22d52m47.4s	22.879829	12.50746765
238	HD 108874	c	Radial Velocity	2	12h30m26.88s	187.612015	+22d52m47.4s	22.879829	12.50746765
239	HD 109246	b	Radial Velocity	1	12h32m07.19s	188.029953	+74d29m22.4s	74.489548	12.53533020
240	HD 109271	b	Radial Velocity	2	12h33m35.56s	188.398148	-11d37m18.7s	-11.621868	12.55987651
241	HD 109271	c	Radial Velocity	2	12h33m35.56s	188.398148	-11d37m18.7s	-11.621868	12.55987651
242	HD 109749	b	Radial Velocity	1	12h37m16.38s	189.318237	-40d48m43.6s	-40.812115	12.62121582
243	HD 110014	b	Radial Velocity	1	12h39m14.77s	189.811523	-07d59m44.0s	-7.995564	12.65410156
